model,task,layer_idx,count,avg_image_ratio,avg_prompt_ratio,avg_gen_ratio
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,3,788,0.5046904123374049,0.45127070857788704,0.044037523608522366
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,4,788,0.41020272346922587,0.513321774865165,0.07647914208736517
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,5,788,0.5947172678061549,0.360141502419099,0.045132438543484296
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,6,788,0.4696345450309327,0.47051878023873733,0.05984512561468908
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,7,788,0.5518990918464467,0.40427890525856597,0.04382870282013404
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,8,788,0.40496361437182743,0.3819697810913706,0.21307171661841687
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,9,788,0.5858606638642132,0.35736362825190354,0.05676424442814086
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,10,788,0.2408095616374524,0.6968585174095813,0.0623253372114927
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,11,788,0.4035371886897208,0.5158830826657678,0.080578954086691
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,12,788,0.25778957308851524,0.6035069499524112,0.1386996816257535
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,13,788,0.26540394119804883,0.656109959946066,0.07848749305996193
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,14,788,0.2101304107511104,0.7765462652680838,0.013322888292031845
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,15,788,0.35869307929489214,0.5314656368972082,0.10984430458339943
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,16,788,0.14750291853386738,0.6368804776729061,0.21561149171161167
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,17,788,0.14134518386143718,0.7843624831456218,0.0742857105235763
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,18,788,0.3488369859414657,0.5285139519551079,0.12265006902859296
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,19,788,0.5905606807185914,0.3582989842758566,0.05112732243416878
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,20,788,0.5457376392964784,0.4285197766299175,0.025750329651808377
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,21,788,0.5927337801395939,0.3400810745161802,0.06717778704493178
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,22,788,0.45808619775142767,0.5234235579592322,0.01847816118734137
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,23,788,0.5699828481916244,0.31949611605726524,0.1105120508803934
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,24,788,0.650932815474302,0.27036529386104063,0.07869484218849143
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,25,788,0.6678231331297588,0.3164830861357868,0.015687729501482194
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,26,788,0.5045193899706536,0.4093194177308058,0.0861652974549889
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Count,27,788,0.47867921161167515,0.44373519045447335,0.07759067128757535
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,0,650,nan,nan,nan
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,1,650,0.08966111403245192,0.818720703125,0.09162250225360577
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,2,650,0.4683935546875,0.4575371844951923,0.07406484750600961
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,3,650,0.5688461538461539,0.3861576021634615,0.04499685434194711
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,4,650,0.4230145733173077,0.4970428936298077,0.07994037334735576
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,5,650,0.5925604717548076,0.3597998046875,0.047649817833533656
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,6,650,0.46125901442307693,0.4789103816105769,0.05982370229867789
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,7,650,0.5479334435096154,0.41562237079326925,0.03643775353064904
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,8,650,0.42351975661057695,0.3677152193509615,0.2087659630408654
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,9,650,0.5479026442307692,0.3976532451923077,0.05444725623497596
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,10,650,0.26093167818509616,0.6778019831730769,0.06126633864182692
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,11,650,0.3881715745192308,0.5433770282451923,0.0684551532451923
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,12,650,0.2109044471153846,0.6343036358173076,0.1547857196514423
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,13,650,0.24536865234375,0.6759127103365384,0.07871591421274038
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,14,650,0.22399883563701922,0.7546612079326923,0.02133404071514423
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,15,650,0.3569527493990385,0.5273445012019231,0.11571016751802884
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,16,650,0.13089571439302886,0.6707729867788461,0.19832989032451923
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,17,650,0.16690532977764422,0.7553650841346153,0.07773489145132212
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,18,650,0.3079942908653846,0.5601284555288462,0.13187781700721155
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,19,650,0.6607722355769231,0.2955682842548077,0.04365891676682692
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,20,650,0.6430438701923077,0.3188536658653846,0.03809837928185096
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,21,650,0.6480679086538461,0.3031745793269231,0.04874478853665865
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,22,650,0.505923602764423,0.4785565655048077,0.015511368971604567
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,23,650,0.5552201021634615,0.3532260366586538,0.09154775766225962
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,24,650,0.6165797776442308,0.3038461538461538,0.07956988994891827
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,25,650,0.7234840745192308,0.26460223858173076,0.011894912719726562
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,26,650,0.5199462890625,0.3774568058894231,0.1025872333233173
ch-min/NVILA-Lite-2B-SINGLE_REFSPATIAL_80K-20251107_104236,Relation,27,650,0.4855480018028846,0.4377918419471154,0.07665273813100962
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,0,788,nan,nan,nan
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,1,788,0.12211918709846922,0.7901158986357868,0.08776274550384676
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,2,788,0.5316939765426714,0.41043013364530456,0.05787015808415292
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,3,788,0.6306771990006346,0.33465700101126267,0.034662140202401256
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,4,788,0.5181760836373731,0.40028311637452413,0.0815442080425127
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,5,788,0.4542010157241434,0.47995165519907995,0.06585457119239768
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,6,788,0.4959865511976523,0.4575728208280457,0.046440821613757136
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,7,788,0.6053423421637056,0.3678474232630076,0.02680922764812024
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,8,788,0.4703561230964467,0.3362144818765863,0.1934259869725571
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,9,788,0.5148761574992069,0.40935814562182743,0.07575338140962087
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,10,788,0.22269668191822653,0.703563089903236,0.07374355877716529
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,11,788,0.4582392503767449,0.4732390273040926,0.06852551765248255
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,12,788,0.21088297112944163,0.6414980815751904,0.147631495132059
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,13,788,0.2778523246648953,0.639962598151967,0.08218631647565038
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,14,788,0.25944976032082806,0.7165892935041244,0.023953534624903336
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,15,788,0.4167715934327411,0.49152014098191626,0.09171105399349619
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,16,788,0.16044608953640546,0.6472428220177665,0.19231403176554568
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,17,788,0.2622305778077411,0.6881196462563451,0.04964404420804251
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,18,788,0.3202145958914975,0.5796896067972716,0.10009688169217956
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,19,788,0.3838383243773794,0.5137620335302983,0.1023988675345019
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,20,788,0.41482125684089466,0.516538668404981,0.06863426557047113
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,21,788,0.5861537565434645,0.37384312043940354,0.03999775920422549
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,22,788,0.39391965914498733,0.5665447409382931,0.039548902947285455
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,23,788,0.5505169708716687,0.3520960154267132,0.09738790444311152
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,24,788,0.6264028791243654,0.2747088592064562,0.09887447453997462
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,25,788,0.5652022773239214,0.3796510648001269,0.055141448974609375
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,26,788,0.5872505304171954,0.3554027576736992,0.057366463133526335
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Count,27,788,0.4076420353148794,0.4851244621470495,0.10723187596664815
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,0,650,0.14372809776893028,0.4708631310096154,0.38540564903846153
